Employee_ID,Employee_Name,Department,Attendance_Date,Check_In_Time,Check_Out_Time,Attendance_Status,Shift_Type,Location
E1056,Employee_56,HR  ,2024-03-15,11:53,16:29,Work From Home,Evening,Office
E1048,Employee_48,IT,11/03/2024,10:11,19:17,Present,Evening,Remote
E1012,Employee_12,HR,2024-02-03,10:22,20:56,Late,Morning,Office
E1023,Employee_23,HR,18/01/2024,10:39,17:24,Late,Evening,Office
E1040,Employee_40,IT,2024-02-09,9:17,16:22,Work From Home,Evening,Remote
E1041,Employee_41,IT,2024-03-07,11:47,20:6,Late,Evening,Remote
E1031,Employee_31,IT,02/01/2024,10:12,16:19,Late,Morning,Office
E1002,Employee_2,Operations,02-10-2024,,,Absent,Evening,Remote
E1015,Employee_15,Operations,19/03/2024,9:35,20:37,Present,Evening,Remote
E1014,Employee_14,IT,01-31-2024,,,absent,Evening,Office
E1049,Employee_49,HR,24/01/2024,9:35,18:54,Work From Home,Morning,Remote
E1024,Employee_24,Operations,05/02/2024,8:30,17:43,Present,Morning,Office
E1018,Employee_18,Sales,03-09-2024,9:16,18:41,Present,Evening,Office
E1059,Employee_59,Finance,24/03/2024,10:57,16:55,Late,Evening,Remote
E1036,Employee_36,IT,26/01/2024,,,Absent,Morning,Office
E1058,Employee_58,Operations,2024-02-10,11:4,20:1,Present,Morning,Remote
E1035,Employee_35,Finance,02-09-2024,8:38,19:47,Present,Morning,Remote
E1043,Employee_43,IT,28/02/2024,,,Absent,Morning,Remote
E1042,Employee_42,Sales,2024-01-01,,,absent,Evening,Office
E1047,Employee_47,Sales,09/03/2024,11:3,20:46,Work From Home,Evening,Office
E1038,Employee_38,Finance,2024-02-01,9:40,16:6,Work From Home,Morning,Office
E1011,Employee_11,Sales,2024-01-19,9:45,20:33,Present,Morning,Remote
E1032,Employee_32,IT,2024-01-15,9:48,20:12,Present,Morning,Office
E1026,Employee_26,HR,2024-03-10,11:26,19:39,Present,Evening,Office
E1037,Employee_37,Operations,2024-01-17,,,Absent,Evening,Remote
E1022,Employee_22,Sales,2024-02-13,11:15,17:37,Present,Evening,Remote
E1045,Employee_45,IT,12/02/2024,9:14,18:8,Present,Morning,Office
E1056,Employee_56,IT,18/03/2024,10:24,18:49,Late,Evening,Remote
E1049,Employee_49,HR,02-28-2024,10:59,17:38,Present,Morning,Remote
E1026,Employee_26,HR,2024-01-12,,,Absent,Evening,Office
E1035,Employee_35,Finance,03-08-2024,10:16,20:21,Work From Home,Evening,Office
E1016,Employee_16,HR,03-30-2024,9:44,19:5,Present,Evening,Remote
E1054,Employee_54,Sales,2024-03-07,11:45,17:38,Present,Evening,Office
E1056,Employee_56,Finance,01-07-2024,11:35,18:23,Late,Evening,Office
E1030,Employee_30,Finance,2024-03-23,10:20,17:36,Present,Morning,Office
E1030,Employee_30,Sales,15/02/2024,,,Absent,Evening,Office
E1033,Employee_33,IT,2024-02-09,,,Absent,Morning,Office
E1024,Employee_24,IT,30/03/2024,8:41,16:52,Present,Evening,Remote
E1010,Employee_10,IT,08/01/2024,11:26,18:56,,Evening,Office
E1026,Employee_26,Finance,27/02/2024,10:54,20:28,Late,Evening,Office
E1045,Employee_45,IT,2024-02-13,11:33,20:36,Work From Home,Evening,Office
E1002,Employee_2,IT  ,2024-02-19,9:56,17:30,Late,Evening,Remote
E1032,Employee_32,Operations,11/01/2024,11:32,17:16,,Evening,Office
E1025,Employee_25,Operations,2024-01-31,9:39,17:20,Work From Home,Evening,Remote
E1045,Employee_45,Sales,2024-02-02,11:29,19:53,Work From Home,Morning,Remote
E1003,Employee_3,Sales,2024-03-10,8:14,16:3,Present,Evening,Office
E1048,Employee_48,IT,01-29-2024,11:39,20:41,Present,Evening,Office
E1025,Employee_25,Finance,04/02/2024,10:35,20:53,Present,Morning,Office
E1008,Employee_8,HR,02/02/2024,8:5,18:58,Late,Evening,Remote
E1041,Employee_41,Finance,2024-02-13,11:15,19:0,Work From Home,Evening,Office
E1034,Employee_34,Finance  ,25/01/2024,8:34,16:58,Work From Home,Morning,Remote
E1016,Employee_16,Operations,09/01/2024,11:23,17:53,,Evening,Office
E1052,Employee_52,Sales,01-30-2024,10:10,19:0,late,Morning,Remote
E1039,Employee_39,HR,02-21-2024,8:41,19:53,Present,Evening,Remote
E1042,Employee_42,Sales,14/02/2024,9:49,19:21,Work From Home,Morning,Office
E1005,Employee_5,HR,14/02/2024,10:45,17:22,Present,Evening,Office
E1034,Employee_34,IT,02-16-2024,,,Absent,Morning,Remote
E1006,Employee_6,Finance,02-16-2024,9:13,19:2,Present,Evening,Office
E1042,Employee_42,Finance  ,2024-01-29,9:56,20:24,,Morning,Remote
E1005,Employee_5,Finance,2024-03-02,9:58,19:25,Late,Evening,Remote
E1005,Employee_5,Operations,2024-01-08,10:42,20:13,Work From Home,Morning,Office
E1032,Employee_32,Operations,06/02/2024,9:47,17:41,Present,Evening,Office
E1033,Employee_33,Finance,08/02/2024,8:19,19:29,Late,Evening,Remote
E1033,Employee_33,Finance,14/03/2024,,,Absent,Morning,Remote
E1051,Employee_51,Operations  ,03-25-2024,11:49,18:26,Late,Morning,Office
E1012,Employee_12,IT,21/01/2024,11:27,16:31,present,Morning,Office
E1013,Employee_13,Finance,03-04-2024,,,Absent,Evening,Remote
E1026,Employee_26,Operations,09/03/2024,9:37,17:10,Late,Morning,Office
E1013,Employee_13,Finance,2024-03-01,10:1,17:54,Work From Home,Morning,Remote
E1055,Employee_55,Sales,07/02/2024,8:28,19:27,Present,Evening,Remote
E1008,Employee_8,IT,03-04-2024,9:3,20:13,Present,Evening,Remote
E1056,Employee_56,IT,26/02/2024,11:57,16:37,Present,Morning,Remote
E1012,Employee_12,Finance,2024-01-11,11:23,17:31,Present,Morning,Office
E1015,Employee_15,HR,03-27-2024,8:6,20:44,Late,Morning,Remote
E1038,Employee_38,Finance,2024-02-24,8:24,20:28,Late,Morning,Remote
E1008,Employee_8,Finance,15/01/2024,,,,Morning,Remote
E1045,Employee_45,IT,01/02/2024,8:22,20:3,Present,Evening,Office
E1036,Employee_36,Finance,29/03/2024,,,Absent,Evening,Remote
E1025,Employee_25,Operations,01-06-2024,9:51,20:43,Late,Evening,Office
E1059,Employee_59,HR,01-10-2024,8:6,19:38,,Evening,Office
E1001,Employee_1,IT,2024-01-01,,,Absent,Evening,Remote
E1008,Employee_8,Sales,01-23-2024,11:41,18:58,Work From Home,Morning,Office
E1014,Employee_14,Finance,03-12-2024,8:12,20:47,Late,Evening,Remote
E1017,Employee_17,IT,11/02/2024,,,Absent,Morning,Office
E1015,Employee_15,Sales,14/03/2024,9:46,18:58,Work From Home,Evening,Remote
E1046,Employee_46,HR,2024-01-16,,,Absent,Morning,Office
E1032,Employee_32,IT,29/03/2024,8:14,18:45,Work From Home,Evening,Remote
E1028,Employee_28,Finance,02-09-2024,,,Absent,Evening,Office
E1002,Employee_2,HR,2024-02-22,8:29,19:11,Work From Home,Evening,Remote
E1044,Employee_44,Operations,02-03-2024,11:1,18:7,Late,Evening,Office
E1042,Employee_42,Finance,02-05-2024,,,Absent,Morning,Office
E1014,Employee_14,Sales,02-03-2024,8:45,19:52,Present,Evening,Remote
